product_name,sugar_g,carbs_g,calories,sodium_mg,fat_g,age_group,bmi_category,diabetes_type,label
"Ikan sunu, asin, mentah",0.0,7.1,199.0,377.0,3.8,adult,normal,0,Recommended
"Ikan sunu, asin, mentah",0.0,7.1,199.0,377.0,3.8,adult,overweight,0,Recommended
"Ikan sunu, asin, mentah",0.0,7.1,199.0,377.0,3.8,adult,normal,1,Caution
"Ikan sunu, asin, mentah",0.0,7.1,199.0,377.0,3.8,adult,overweight,2,Caution
"Ikan sunu, asin, mentah",0.0,7.1,199.0,377.0,3.8,elderly,normal,2,Caution
"Ikan sunu, asin, mentah",0.0,7.1,199.0,377.0,3.8,child,normal,1,Caution
"Ikan sunu, asin, mentah",0.0,7.1,199.0,377.0,3.8,child,normal,0,Recommended
"Soto pekalongan, masakan",0.0,5.1,94.0,0.0,6.8,adult,normal,0,Recommended
"Soto pekalongan, masakan",0.0,5.1,94.0,0.0,6.8,adult,overweight,0,Recommended
"Soto pekalongan, masakan",0.0,5.1,94.0,0.0,6.8,adult,normal,1,Recommended
"Soto pekalongan, masakan",0.0,5.1,94.0,0.0,6.8,adult,overweight,2,Caution
"Soto pekalongan, masakan",0.0,5.1,94.0,0.0,6.8,elderly,normal,2,Caution
"Soto pekalongan, masakan",0.0,5.1,94.0,0.0,6.8,child,normal,1,Recommended
"Soto pekalongan, masakan",0.0,5.1,94.0,0.0,6.8,child,normal,0,Recommended
Marie duo,5.0,14.0,15.0,85.0,3.5,adult,normal,0,Recommended
Marie duo,5.0,14.0,15.0,85.0,3.5,adult,overweight,0,Recommended
Marie duo,5.0,14.0,15.0,85.0,3.5,adult,normal,1,Recommended
Marie duo,5.0,14.0,15.0,85.0,3.5,adult,overweight,2,Caution
Marie duo,5.0,14.0,15.0,85.0,3.5,elderly,normal,2,Caution
Marie duo,5.0,14.0,15.0,85.0,3.5,child,normal,1,Recommended
Marie duo,5.0,14.0,15.0,85.0,3.5,child,normal,0,Recommended
"Kaparende, sayur",0.0,2.6,38.0,170.0,2.0,adult,normal,0,Recommended
"Kaparende, sayur",0.0,2.6,38.0,170.0,2.0,adult,overweight,0,Recommended
"Kaparende, sayur",0.0,2.6,38.0,170.0,2.0,adult,normal,1,Recommended
"Kaparende, sayur",0.0,2.6,38.0,170.0,2.0,adult,overweight,2,Recommended
"Kaparende, sayur",0.0,2.6,38.0,170.0,2.0,elderly,normal,2,Recommended
"Kaparende, sayur",0.0,2.6,38.0,170.0,2.0,child,normal,1,Recommended
"Kaparende, sayur",0.0,2.6,38.0,170.0,2.0,child,normal,0,Recommended
Kacang lebui / iris,0.0,66.6,346.0,17.0,1.5,adult,normal,0,Caution
Kacang lebui / iris,0.0,66.6,346.0,17.0,1.5,adult,overweight,0,Caution
Kacang lebui / iris,0.0,66.6,346.0,17.0,1.5,adult,normal,1,Not Recommended
Kacang lebui / iris,0.0,66.6,346.0,17.0,1.5,adult,overweight,2,Not Recommended
Kacang lebui / iris,0.0,66.6,346.0,17.0,1.5,elderly,normal,2,Not Recommended
Kacang lebui / iris,0.0,66.6,346.0,17.0,1.5,child,normal,1,Not Recommended
Kacang lebui / iris,0.0,66.6,346.0,17.0,1.5,child,normal,0,Caution
The coffe bean & tea leaf pure vanilla ice blended drink,63.0,70.0,410.0,0.0,9.0,adult,normal,0,Not Recommended
The coffe bean & tea leaf pure vanilla ice blended drink,63.0,70.0,410.0,0.0,9.0,adult,overweight,0,Not Recommended
The coffe bean & tea leaf pure vanilla ice blended drink,63.0,70.0,410.0,0.0,9.0,adult,normal,1,Not Recommended
The coffe bean & tea leaf pure vanilla ice blended drink,63.0,70.0,410.0,0.0,9.0,adult,overweight,2,Not Recommended
The coffe bean & tea leaf pure vanilla ice blended drink,63.0,70.0,410.0,0.0,9.0,elderly,normal,2,Not Recommended
The coffe bean & tea leaf pure vanilla ice blended drink,63.0,70.0,410.0,0.0,9.0,child,normal,1,Not Recommended
The coffe bean & tea leaf pure vanilla ice blended drink,63.0,70.0,410.0,0.0,9.0,child,normal,0,Not Recommended
Dairy queen banana split,72.0,92.0,520.0,0.0,14.0,adult,normal,0,Not Recommended
Dairy queen banana split,72.0,92.0,520.0,0.0,14.0,adult,overweight,0,Not Recommended
Dairy queen banana split,72.0,92.0,520.0,0.0,14.0,adult,normal,1,Not Recommended
Dairy queen banana split,72.0,92.0,520.0,0.0,14.0,adult,overweight,2,Not Recommended
Dairy queen banana split,72.0,92.0,520.0,0.0,14.0,elderly,normal,2,Not Recommended
Dairy queen banana split,72.0,92.0,520.0,0.0,14.0,child,normal,1,Not Recommended
Dairy queen banana split,72.0,92.0,520.0,0.0,14.0,child,normal,0,Not Recommended
"Gembili, ubi, segar",0.0,31.3,131.0,10.0,0.2,adult,normal,0,Recommended
"Gembili, ubi, segar",0.0,31.3,131.0,10.0,0.2,adult,overweight,0,Recommended
"Gembili, ubi, segar",0.0,31.3,131.0,10.0,0.2,adult,normal,1,Caution
"Gembili, ubi, segar",0.0,31.3,131.0,10.0,0.2,adult,overweight,2,Caution
"Gembili, ubi, segar",0.0,31.3,131.0,10.0,0.2,elderly,normal,2,Caution
"Gembili, ubi, segar",0.0,31.3,131.0,10.0,0.2,child,normal,1,Caution
"Gembili, ubi, segar",0.0,31.3,131.0,10.0,0.2,child,normal,0,Recommended
Baked lotus paste mooncake with two egg yolks,0.0,20.5,223.0,0.0,13.79,adult,normal,0,Caution
Baked lotus paste mooncake with two egg yolks,0.0,20.5,223.0,0.0,13.79,adult,overweight,0,Caution
Baked lotus paste mooncake with two egg yolks,0.0,20.5,223.0,0.0,13.79,adult,normal,1,Caution
Baked lotus paste mooncake with two egg yolks,0.0,20.5,223.0,0.0,13.79,adult,overweight,2,Not Recommended
Baked lotus paste mooncake with two egg yolks,0.0,20.5,223.0,0.0,13.79,elderly,normal,2,Not Recommended
Baked lotus paste mooncake with two egg yolks,0.0,20.5,223.0,0.0,13.79,child,normal,1,Caution
Baked lotus paste mooncake with two egg yolks,0.0,20.5,223.0,0.0,13.79,child,normal,0,Caution
Cumi-cumi,0.0,0.1,75.0,37.0,0.7,adult,normal,0,Recommended
Cumi-cumi,0.0,0.1,75.0,37.0,0.7,adult,overweight,0,Recommended
Cumi-cumi,0.0,0.1,75.0,37.0,0.7,adult,normal,1,Recommended
Cumi-cumi,0.0,0.1,75.0,37.0,0.7,adult,overweight,2,Recommended
Cumi-cumi,0.0,0.1,75.0,37.0,0.7,elderly,normal,2,Recommended
Cumi-cumi,0.0,0.1,75.0,37.0,0.7,child,normal,1,Recommended
Cumi-cumi,0.0,0.1,75.0,37.0,0.7,child,normal,0,Recommended
"Kunyit, segar",0.0,9.1,69.0,6.0,2.7,adult,normal,0,Recommended
"Kunyit, segar",0.0,9.1,69.0,6.0,2.7,adult,overweight,0,Recommended
